# schema=raw-v1 source=oanda instrument=EURUSD tf=h1 year=2024 month=01
time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c,volume,complete
2024-01-09T20:00:00Z,1.10690,1.10730,1.10660,1.10705,1.10692,1.10732,1.10662,1.10707,102,true
2024-01-09T21:00:00Z,1.10705,1.10745,1.10675,1.10720,1.10707,1.10747,1.10677,1.10722,102,true
2024-01-09T22:00:00Z,1.10720,1.10760,1.10690,1.10735,1.10722,1.10762,1.10692,1.10737,103,true
2024-01-09T23:00:00Z,1.10735,1.10775,1.10705,1.10750,1.10737,1.10777,1.10707,1.10752,103,true
2024-01-10T00:00:00Z,1.10750,1.10790,1.10720,1.10765,1.10752,1.10792,1.10722,1.10767,103,true
2024-01-10T01:00:00Z,1.10765,1.10805,1.10735,1.10780,1.10767,1.10807,1.10737,1.10782,103,true
2024-01-10T02:00:00Z,1.10780,1.10820,1.10750,1.10795,1.10782,1.10822,1.10752,1.10797,103,true
2024-01-10T03:00:00Z,1.10795,1.10835,1.10765,1.10810,1.10797,1.10837,1.10767,1.10812,103,true
2024-01-10T04:00:00Z,1.10810,1.10850,1.10780,1.10825,1.10812,1.10852,1.10782,1.10827,103,true
2024-01-10T05:00:00Z,1.10825,1.10865,1.10795,1.10840,1.10827,1.10867,1.10797,1.10842,103,true
2024-01-10T06:00:00Z,1.10840,1.10880,1.10810,1.10855,1.10842,1.10882,1.10812,1.10857,103,true
2024-01-10T07:00:00Z,1.10855,1.10895,1.10825,1.10870,1.10857,1.10897,1.10827,1.10872,103,true
2024-01-10T08:00:00Z,1.10870,1.10910,1.10840,1.10885,1.10872,1.10912,1.10842,1.10887,103,true
2024-01-10T09:00:00Z,1.10885,1.10925,1.10855,1.10900,1.10887,1.10927,1.10857,1.10902,103,true
2024-01-10T10:00:00Z,1.10900,1.10940,1.10870,1.10915,1.10902,1.10942,1.10872,1.10917,103,true
2024-01-10T11:00:00Z,1.10915,1.10955,1.10885,1.10930,1.10917,1.10957,1.10887,1.10932,103,true
2024-01-10T12:00:00Z,1.10930,1.10970,1.10900,1.10945,1.10932,1.10972,1.10902,1.10947,103,true
2024-01-10T13:00:00Z,1.10945,1.10985,1.10915,1.10960,1.10947,1.10987,1.10917,1.10962,103,true
2024-01-10T14:00:00Z,1.10960,1.11000,1.10930,1.10975,1.10962,1.11002,1.10932,1.10977,103,true
2024-01-10T15:00:00Z,1.10975,1.11015,1.10945,1.10990,1.10977,1.11017,1.10947,1.10992,103,true
2024-01-10T16:00:00Z,1.10990,1.11030,1.10960,1.11005,1.10992,1.11032,1.10962,1.11007,103,true
2024-01-10T17:00:00Z,1.11005,1.11045,1.10975,1.11020,1.11007,1.11047,1.10977,1.11022,103,true
2024-01-10T18:00:00Z,1.11020,1.11060,1.10990,1.11035,1.11022,1.11062,1.10992,1.11037,103,true
2024-01-10T19:00:00Z,1.11035,1.11075,1.11005,1.11050,1.11037,1.11077,1.11007,1.11052,103,true
2024-01-10T20:00:00Z,1.11050,1.11090,1.11020,1.11065,1.11052,1.11092,1.11022,1.11067,103,true
2024-01-10T21:00:00Z,1.11065,1.11105,1.11035,1.11080,1.11067,1.11107,1.11037,1.11082,103,true
2024-01-10T22:00:00Z,1.11080,1.11120,1.11050,1.11095,1.11082,1.11122,1.11052,1.11097,104,true
2024-01-10T23:00:00Z,1.11095,1.11135,1.11065,1.11110,1.11097,1.11137,1.11067,1.11112,104,true
2024-01-11T00:00:00Z,1.11110,1.11150,1.11080,1.11125,1.11112,1.11152,1.11082,1.11127,104,true
2024-01-11T01:00:00Z,1.11125,1.11165,1.11095,1.11140,1.11127,1.11167,1.11097,1.11142,104,true
2024-01-11T02:00:00Z,1.11140,1.11180,1.11110,1.11155,1.11142,1.11182,1.11112,1.11157,104,true
2024-01-11T03:00:00Z,1.11155,1.11195,1.11125,1.11170,1.11157,1.11197,1.11127,1.11172,104,true
2024-01-11T04:00:00Z,1.11170,1.11210,1.11140,1.11185,1.11172,1.11212,1.11142,1.11187,104,true
2024-01-11T05:00:00Z,1.11185,1.11225,1.11155,1.11200,1.11187,1.11227,1.11157,1.11202,104,true
2024-01-11T06:00:00Z,1.11200,1.11240,1.11170,1.11215,1.11202,1.11242,1.11172,1.11217,104,true
2024-01-11T07:00:00Z,1.11215,1.11255,1.11185,1.11230,1.11217,1.11257,1.11187,1.11232,104,true
2024-01-11T08:00:00Z,1.11230,1.11270,1.11200,1.11245,1.11232,1.11272,1.11202,1.11247,104,true
2024-01-11T09:00:00Z,1.11245,1.11285,1.11215,1.11260,1.11247,1.11287,1.11217,1.11262,104,true
2024-01-11T10:00:00Z,1.11260,1.11300,1.11230,1.11275,1.11262,1.11302,1.11232,1.11277,104,true
2024-01-11T11:00:00Z,1.11275,1.11315,1.11245,1.11290,1.11277,1.11317,1.11247,1.11292,104,true
2024-01-11T12:00:00Z,1.11290,1.11330,1.11260,1.11305,1.11292,1.11332,1.11262,1.11307,104,true
2024-01-11T13:00:00Z,1.11305,1.11345,1.11275,1.11320,1.11307,1.11347,1.11277,1.11322,104,true
2024-01-11T14:00:00Z,1.11320,1.11360,1.11290,1.11335,1.11322,1.11362,1.11292,1.11337,104,true
2024-01-11T15:00:00Z,1.11335,1.11375,1.11305,1.11350,1.11337,1.11377,1.11307,1.11352,104,true
2024-01-11T16:00:00Z,1.11350,1.11390,1.11320,1.11365,1.11352,1.11392,1.11322,1.11367,104,true
2024-01-11T17:00:00Z,1.11365,1.11405,1.11335,1.11380,1.11367,1.11407,1.11337,1.11382,104,true
2024-01-11T18:00:00Z,1.11380,1.11420,1.11350,1.11395,1.11382,1.11422,1.11352,1.11397,104,true
2024-01-11T19:00:00Z,1.11395,1.11435,1.11365,1.11410,1.11397,1.11437,1.11367,1.11412,104,true
2024-01-11T20:00:00Z,1.11410,1.11450,1.11380,1.11425,1.11412,1.11452,1.11382,1.11427,104,true
2024-01-11T21:00:00Z,1.11425,1.11465,1.11395,1.11440,1.11427,1.11467,1.11397,1.11442,104,true
2024-01-11T22:00:00Z,1.11440,1.11480,1.11410,1.11455,1.11442,1.11482,1.11412,1.11457,105,true
2024-01-11T23:00:00Z,1.11455,1.11495,1.11425,1.11470,1.11457,1.11497,1.11427,1.11472,105,true
2024-01-12T00:00:00Z,1.11470,1.11510,1.11440,1.11485,1.11472,1.11512,1.11442,1.11487,105,true
2024-01-12T01:00:00Z,1.11485,1.11525,1.11455,1.11500,1.11487,1.11527,1.11457,1.11502,105,true
2024-01-12T02:00:00Z,1.11500,1.11540,1.11470,1.11515,1.11502,1.11542,1.11472,1.11517,105,true
2024-01-12T03:00:00Z,1.11515,1.11555,1.11485,1.11530,1.11517,1.11557,1.11487,1.11532,105,true
2024-01-12T04:00:00Z,1.11530,1.11570,1.11500,1.11545,1.11532,1.11572,1.11502,1.11547,105,true
2024-01-12T05:00:00Z,1.11545,1.11585,1.11515,1.11560,1.11547,1.11587,1.11517,1.11562,105,true
2024-01-12T06:00:00Z,1.11560,1.11600,1.11530,1.11575,1.11562,1.11602,1.11532,1.11577,105,true
2024-01-12T07:00:00Z,1.11575,1.11615,1.11545,1.11590,1.11577,1.11617,1.11547,1.11592,105,true
2024-01-12T08:00:00Z,1.11590,1.11630,1.11560,1.11605,1.11592,1.11632,1.11562,1.11607,105,true
2024-01-12T09:00:00Z,1.11605,1.11645,1.11575,1.11620,1.11607,1.11647,1.11577,1.11622,105,true
2024-01-12T10:00:00Z,1.11620,1.11660,1.11590,1.11635,1.11622,1.11662,1.11592,1.11637,105,true
2024-01-12T11:00:00Z,1.11635,1.11675,1.11605,1.11650,1.11637,1.11677,1.11607,1.11652,105,true
2024-01-12T12:00:00Z,1.11650,1.11690,1.11620,1.11665,1.11652,1.11692,1.11622,1.11667,105,true
2024-01-12T13:00:00Z,1.11665,1.11705,1.11635,1.11680,1.11667,1.11707,1.11637,1.11682,105,true
2024-01-12T14:00:00Z,1.11680,1.11720,1.11650,1.11695,1.11682,1.11722,1.11652,1.11697,105,true
2024-01-12T15:00:00Z,1.11695,1.11735,1.11665,1.11710,1.11697,1.11737,1.11667,1.11712,105,true
2024-01-12T16:00:00Z,1.11710,1.11750,1.11680,1.11725,1.11712,1.11752,1.11682,1.11727,105,true
2024-01-12T17:00:00Z,1.11725,1.11765,1.11695,1.11740,1.11727,1.11767,1.11697,1.11742,105,true
2024-01-12T18:00:00Z,1.11740,1.11780,1.11710,1.11755,1.11742,1.11782,1.11712,1.11757,105,true
2024-01-12T19:00:00Z,1.11755,1.11795,1.11725,1.11770,1.11757,1.11797,1.11727,1.11772,105,true
2024-01-12T20:00:00Z,1.11770,1.11810,1.11740,1.11785,1.11772,1.11812,1.11742,1.11787,105,true
2024-01-12T21:00:00Z,1.11785,1.11825,1.11755,1.11800,1.11787,1.11827,1.11757,1.11802,105,true
2024-01-14T22:00:00Z,1.11800,1.11840,1.11770,1.11815,1.11802,1.11842,1.11772,1.11817,106,true
2024-01-14T23:00:00Z,1.11815,1.11855,1.11785,1.11830,1.11817,1.11857,1.11787,1.11832,106,true
2024-01-15T00:00:00Z,1.11830,1.11870,1.11800,1.11845,1.11832,1.11872,1.11802,1.11847,106,true
2024-01-15T01:00:00Z,1.11845,1.11885,1.11815,1.11860,1.11847,1.11887,1.11817,1.11862,106,true
2024-01-15T02:00:00Z,1.11860,1.11900,1.11830,1.11875,1.11862,1.11902,1.11832,1.11877,106,true
2024-01-15T03:00:00Z,1.11875,1.11915,1.11845,1.11890,1.11877,1.11917,1.11847,1.11892,106,true
2024-01-15T04:00:00Z,1.11890,1.11930,1.11860,1.11905,1.11892,1.11932,1.11862,1.11907,106,true
2024-01-15T05:00:00Z,1.11905,1.11945,1.11875,1.11920,1.11907,1.11947,1.11877,1.11922,106,true
2024-01-15T06:00:00Z,1.11920,1.11960,1.11890,1.11935,1.11922,1.11962,1.11892,1.11937,106,true
2024-01-15T07:00:00Z,1.11935,1.11975,1.11905,1.11950,1.11937,1.11977,1.11907,1.11952,106,true
2024-01-15T08:00:00Z,1.11950,1.11990,1.11920,1.11965,1.11952,1.11992,1.11922,1.11967,106,true
2024-01-15T09:00:00Z,1.11965,1.12005,1.11935,1.11980,1.11967,1.12007,1.11937,1.11982,106,true
2024-01-15T10:00:00Z,1.11980,1.12020,1.11950,1.11995,1.11982,1.12022,1.11952,1.11997,106,true
2024-01-15T11:00:00Z,1.11995,1.12035,1.11965,1.12010,1.11997,1.12037,1.11967,1.12012,106,true
2024-01-15T12:00:00Z,1.12010,1.12050,1.11980,1.12025,1.12012,1.12052,1.11982,1.12027,106,true
2024-01-15T13:00:00Z,1.12025,1.12065,1.11995,1.12040,1.12027,1.12067,1.11997,1.12042,106,true
2024-01-15T14:00:00Z,1.12040,1.12080,1.12010,1.12055,1.12042,1.12082,1.12012,1.12057,106,true
2024-01-15T15:00:00Z,1.12055,1.12095,1.12025,1.12070,1.12057,1.12097,1.12027,1.12072,106,true
2024-01-15T16:00:00Z,1.12070,1.12110,1.12040,1.12085,1.12072,1.12112,1.12042,1.12087,106,true
2024-01-15T17:00:00Z,1.12085,1.12125,1.12055,1.12100,1.12087,1.12127,1.12057,1.12102,106,true
2024-01-15T18:00:00Z,1.12100,1.12140,1.12070,1.12115,1.12102,1.12142,1.12072,1.12117,106,true
2024-01-15T19:00:00Z,1.12115,1.12155,1.12085,1.12130,1.12117,1.12157,1.12087,1.12132,106,true
2024-01-15T20:00:00Z,1.12130,1.12170,1.12100,1.12145,1.12132,1.12172,1.12102,1.12147,106,true
2024-01-15T21:00:00Z,1.12145,1.12185,1.12115,1.12160,1.12147,1.12187,1.12117,1.12162,106,true
2024-01-15T22:00:00Z,1.12160,1.12200,1.12130,1.12175,1.12162,1.12202,1.12132,1.12177,107,true
2024-01-15T23:00:00Z,1.12175,1.12215,1.12145,1.12190,1.12177,1.12217,1.12147,1.12192,107,true
2024-01-16T00:00:00Z,1.12190,1.12230,1.12160,1.12205,1.12192,1.12232,1.12162,1.12207,107,true
2024-01-16T01:00:00Z,1.12205,1.12245,1.12175,1.12220,1.12207,1.12247,1.12177,1.12222,107,true
2024-01-16T02:00:00Z,1.12220,1.12260,1.12190,1.12235,1.12222,1.12262,1.12192,1.12237,107,true
2024-01-16T03:00:00Z,1.12235,1.12275,1.12205,1.12250,1.12237,1.12277,1.12207,1.12252,107,true
2024-01-16T04:00:00Z,1.12250,1.12290,1.12220,1.12265,1.12252,1.12292,1.12222,1.12267,107,true
2024-01-16T05:00:00Z,1.12265,1.12305,1.12235,1.12280,1.12267,1.12307,1.12237,1.12282,107,true
2024-01-16T06:00:00Z,1.12280,1.12320,1.12250,1.12295,1.12282,1.12322,1.12252,1.12297,107,true
2024-01-16T07:00:00Z,1.12295,1.12335,1.12265,1.12310,1.12297,1.12337,1.12267,1.12312,107,true
2024-01-16T08:00:00Z,1.12310,1.12350,1.12280,1.12325,1.12312,1.12352,1.12282,1.12327,107,true
2024-01-16T09:00:00Z,1.12325,1.12365,1.12295,1.12340,1.12327,1.12367,1.12297,1.12342,107,true
2024-01-16T10:00:00Z,1.12340,1.12380,1.12310,1.12355,1.12342,1.12382,1.12312,1.12357,107,true
2024-01-16T11:00:00Z,1.12355,1.12395,1.12325,1.12370,1.12357,1.12397,1.12327,1.12372,107,true
2024-01-16T12:00:00Z,1.12370,1.12410,1.12340,1.12385,1.12372,1.12412,1.12342,1.12387,107,true
2024-01-16T13:00:00Z,1.12385,1.12425,1.12355,1.12400,1.12387,1.12427,1.12357,1.12402,107,true
2024-01-16T14:00:00Z,1.12400,1.12440,1.12370,1.12415,1.12402,1.12442,1.12372,1.12417,107,true
2024-01-16T15:00:00Z,1.12415,1.12455,1.12385,1.12430,1.12417,1.12457,1.12387,1.12432,107,true
2024-01-16T16:00:00Z,1.12430,1.12470,1.12400,1.12445,1.12432,1.12472,1.12402,1.12447,107,true
2024-01-16T17:00:00Z,1.12445,1.12485,1.12415,1.12460,1.12447,1.12487,1.12417,1.12462,107,true
2024-01-16T18:00:00Z,1.12460,1.12500,1.12430,1.12475,1.12462,1.12502,1.12432,1.12477,107,true
2024-01-16T19:00:00Z,1.12475,1.12515,1.12445,1.12490,1.12477,1.12517,1.12447,1.12492,107,true
2024-01-16T20:00:00Z,1.12490,1.12530,1.12460,1.12505,1.12492,1.12532,1.12462,1.12507,107,true
2024-01-16T21:00:00Z,1.12505,1.12545,1.12475,1.12520,1.12507,1.12547,1.12477,1.12522,107,true
2024-01-17T22:00:00Z,1.12880,1.12920,1.12850,1.12895,1.12882,1.12922,1.12852,1.12897,109,true
2024-01-17T23:00:00Z,1.12895,1.12935,1.12865,1.12910,1.12897,1.12937,1.12867,1.12912,109,true
2024-01-18T00:00:00Z,1.12910,1.12950,1.12880,1.12925,1.12912,1.12952,1.12882,1.12927,109,true
2024-01-18T01:00:00Z,1.12925,1.12965,1.12895,1.12940,1.12927,1.12967,1.12897,1.12942,109,true
2024-01-18T02:00:00Z,1.12940,1.12980,1.12910,1.12955,1.12942,1.12982,1.12912,1.12957,109,true
2024-01-18T03:00:00Z,1.12955,1.12995,1.12925,1.12970,1.12957,1.12997,1.12927,1.12972,109,true
2024-01-18T04:00:00Z,1.12970,1.13010,1.12940,1.12985,1.12972,1.13012,1.12942,1.12987,109,true
2024-01-18T05:00:00Z,1.12985,1.13025,1.12955,1.13000,1.12987,1.13027,1.12957,1.13002,109,true
2024-01-18T06:00:00Z,1.13000,1.13040,1.12970,1.13015,1.13002,1.13042,1.12972,1.13017,109,true
2024-01-18T07:00:00Z,1.13015,1.13055,1.12985,1.13030,1.13017,1.13057,1.12987,1.13032,109,true
2024-01-18T08:00:00Z,1.13030,1.13070,1.13000,1.13045,1.13032,1.13072,1.13002,1.13047,109,true
2024-01-18T09:00:00Z,1.13045,1.13085,1.13015,1.13060,1.13047,1.13087,1.13017,1.13062,109,true
2024-01-18T10:00:00Z,1.13060,1.13100,1.13030,1.13075,1.13062,1.13102,1.13032,1.13077,109,true
2024-01-18T11:00:00Z,1.13075,1.13115,1.13045,1.13090,1.13077,1.13117,1.13047,1.13092,109,true
2024-01-18T12:00:00Z,1.13090,1.13130,1.13060,1.13105,1.13092,1.13132,1.13062,1.13107,109,true
2024-01-18T13:00:00Z,1.13105,1.13145,1.13075,1.13120,1.13107,1.13147,1.13077,1.13122,109,true
2024-01-18T14:00:00Z,1.13120,1.13160,1.13090,1.13135,1.13122,1.13162,1.13092,1.13137,109,true
2024-01-18T15:00:00Z,1.13135,1.13175,1.13105,1.13150,1.13137,1.13177,1.13107,1.13152,109,true
2024-01-18T16:00:00Z,1.13150,1.13190,1.13120,1.13165,1.13152,1.13192,1.13122,1.13167,109,true
2024-01-18T17:00:00Z,1.13165,1.13205,1.13135,1.13180,1.13167,1.13207,1.13137,1.13182,109,true
2024-01-18T18:00:00Z,1.13180,1.13220,1.13150,1.13195,1.13182,1.13222,1.13152,1.13197,109,true
2024-01-18T19:00:00Z,1.13195,1.13235,1.13165,1.13210,1.13197,1.13237,1.13167,1.13212,109,true
2024-01-18T20:00:00Z,1.13210,1.13250,1.13180,1.13225,1.13212,1.13252,1.13182,1.13227,109,true
2024-01-18T21:00:00Z,1.13225,1.13265,1.13195,1.13240,1.13227,1.13267,1.13197,1.13242,109,true
2024-01-18T22:00:00Z,1.13240,1.13280,1.13210,1.13255,1.13242,1.13282,1.13212,1.13257,110,true
2024-01-18T23:00:00Z,1.13255,1.13295,1.13225,1.13270,1.13257,1.13297,1.13227,1.13272,110,true
2024-01-19T00:00:00Z,1.13270,1.13310,1.13240,1.13285,1.13272,1.13312,1.13242,1.13287,110,true
2024-01-19T01:00:00Z,1.13285,1.13325,1.13255,1.13300,1.13287,1.13327,1.13257,1.13302,110,true
2024-01-19T02:00:00Z,1.13300,1.13340,1.13270,1.13315,1.13302,1.13342,1.13272,1.13317,110,true
2024-01-19T03:00:00Z,1.13315,1.13355,1.13285,1.13330,1.13317,1.13357,1.13287,1.13332,110,true
2024-01-19T04:00:00Z,1.13330,1.13370,1.13300,1.13345,1.13332,1.13372,1.13302,1.13347,110,true
2024-01-19T05:00:00Z,1.13345,1.13385,1.13315,1.13360,1.13347,1.13387,1.13317,1.13362,110,true
2024-01-19T06:00:00Z,1.13360,1.13400,1.13330,1.13375,1.13362,1.13402,1.13332,1.13377,110,true
2024-01-19T07:00:00Z,1.13375,1.13415,1.13345,1.13390,1.13377,1.13417,1.13347,1.13392,110,true
2024-01-19T08:00:00Z,1.13390,1.13430,1.13360,1.13405,1.13392,1.13432,1.13362,1.13407,110,true
2024-01-19T09:00:00Z,1.13405,1.13445,1.13375,1.13420,1.13407,1.13447,1.13377,1.13422,110,true
2024-01-19T10:00:00Z,1.13420,1.13460,1.13390,1.13435,1.13422,1.13462,1.13392,1.13437,110,true
2024-01-19T11:00:00Z,1.13435,1.13475,1.13405,1.13450,1.13437,1.13477,1.13407,1.13452,110,true
2024-01-19T12:00:00Z,1.13450,1.13490,1.13420,1.13465,1.13452,1.13492,1.13422,1.13467,110,true
2024-01-19T13:00:00Z,1.13465,1.13505,1.13435,1.13480,1.13467,1.13507,1.13437,1.13482,110,true
2024-01-19T14:00:00Z,1.13480,1.13520,1.13450,1.13495,1.13482,1.13522,1.13452,1.13497,110,true
2024-01-19T15:00:00Z,1.13495,1.13535,1.13465,1.13510,1.13497,1.13537,1.13467,1.13512,110,true
2024-01-19T16:00:00Z,1.13510,1.13550,1.13480,1.13525,1.13512,1.13552,1.13482,1.13527,110,true
2024-01-19T17:00:00Z,1.13525,1.13565,1.13495,1.13540,1.13527,1.13567,1.13497,1.13542,110,true
2024-01-19T18:00:00Z,1.13540,1.13580,1.13510,1.13555,1.13542,1.13582,1.13512,1.13557,110,true
2024-01-19T19:00:00Z,1.13555,1.13595,1.13525,1.13570,1.13557,1.13597,1.13527,1.13572,110,true
2024-01-19T20:00:00Z,1.13570,1.13610,1.13540,1.13585,1.13572,1.13612,1.13542,1.13587,110,true
2024-01-19T21:00:00Z,1.13585,1.13625,1.13555,1.13600,1.13587,1.13627,1.13557,1.13602,110,true
