episode,exit_date,exit_price,reentry_date,reentry_price,days_flat,post_exit_low_date,post_exit_low,further_decline_pct,reentry_vs_exit_pct,rebound_before_reentry_pct,max_defensive_advantage,captured_advantage,capture_ratio,classification,at_post_exit_low_sma200_distance,at_post_exit_low_sma20,at_post_exit_low_sma50,at_post_exit_low_atr14,at_post_exit_low_highest_high_since_exit,at_reentry_sma200_distance,at_reentry_sma20,at_reentry_sma50,at_reentry_atr14,at_reentry_highest_high_since_exit,at_reentry_lowest_low_since_exit,candidate_above_sma_trigger_date,candidate_above_sma_days_earlier,candidate_reclaim_exit_trigger_date,candidate_reclaim_exit_days_earlier,candidate_reclaim_exit_matches_actual,breakout_2_trigger_date,breakout_2_days_earlier,breakout_3_trigger_date,breakout_3_days_earlier,breakout_5_trigger_date,breakout_5_days_earlier,breakout_10_trigger_date,breakout_10_days_earlier,rebound_2pct_trigger_date,rebound_2pct_days_earlier,rebound_3pct_trigger_date,rebound_3pct_days_earlier,rebound_5pct_trigger_date,rebound_5pct_days_earlier
10,2007-12-14,113.580000,2007-12-26,114.690000,12,2007-12-18,111.080000,0.022011,0.009773,0.032499,2.500000,-1.110000,-0.444000,good-defensive-exit,-0.019791,113.350250,115.259320,1.833143,115.034000,0.003570,114.337850,114.642900,1.721714,115.494000,111.080000,2007-12-26,0.000000,2007-12-24,2.000000,false,2007-12-24,2.000000,2007-12-24,2.000000,2007-12-26,0.000000,,0.000000,2007-12-24,2.000000,2007-12-26,0.000000,,0.000000
11,2007-12-27,113.810000,2012-09-07,114.530000,1716,2009-03-06,51.770700,0.545113,0.006326,1.212255,62.039300,-0.720000,-0.011606,good-defensive-exit,-0.352081,59.783825,63.906222,2.274536,114.975000,0.080128,112.591200,110.252620,0.969429,114.975000,51.770700,2008-05-20,1571.000000,2012-09-07,0.000000,true,2008-01-25,1687.000000,2008-02-04,1677.000000,2008-02-04,1677.000000,2008-02-04,1677.000000,2008-01-11,1701.000000,2008-01-23,1689.000000,2008-01-24,1688.000000
12,2012-11-14,108.690000,2012-11-20,111.070000,6,2012-11-16,107.693000,0.009173,0.021897,0.031358,0.997000,-2.380000,-2.387161,whipsaw,-0.007863,112.264250,114.320140,1.522214,110.690000,0.012237,111.827000,114.187920,1.594143,111.464000,107.693000,2012-11-20,0.000000,2012-11-19,1.000000,false,2012-11-20,0.000000,2012-11-20,0.000000,,0.000000,,0.000000,2012-11-20,0.000000,2012-11-20,0.000000,,0.000000
13,2015-08-24,158.510000,2015-10-23,176.150000,60,2015-08-24,154.210000,0.027128,0.111286,0.142274,4.300000,-17.640000,-4.102326,good-defensive-exit,-0.081732,175.559550,176.367020,3.047214,166.927000,0.015489,169.144750,167.977980,1.750357,176.711000,154.210000,2015-10-23,0.000000,2015-08-27,57.000000,false,2015-08-28,56.000000,2015-08-28,56.000000,2015-09-17,36.000000,2015-09-17,36.000000,2015-08-25,59.000000,2015-08-25,59.000000,2015-08-27,57.000000
14,2015-11-13,173.650000,2015-11-17,175.040000,4,2015-11-16,171.818000,0.010550,0.008005,0.018752,1.832000,-1.390000,-0.758734,good-defensive-exit,0.002582,176.179150,170.738240,1.838714,174.756000,0.001841,176.279150,170.892140,1.799000,175.954000,171.818000,2015-11-17,0.000000,2015-11-17,0.000000,true,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000
15,2015-12-11,172.720000,2015-12-17,177.100000,6,2015-12-14,169.935000,0.016124,0.025359,0.042163,2.785000,-4.380000,-1.572711,good-defensive-exit,-0.011171,176.296700,175.026540,2.337643,173.475000,-0.001399,176.222200,175.405160,2.712071,177.149000,169.935000,2015-12-17,0.000000,2015-12-16,1.000000,false,2015-12-16,1.000000,2015-12-17,0.000000,,0.000000,,0.000000,2015-12-16,1.000000,2015-12-17,0.000000,,0.000000
16,2015-12-18,173.350000,2015-12-24,175.860000,6,2015-12-18,170.832000,0.014526,0.014479,0.029432,2.518000,-2.510000,-0.996823,good-defensive-exit,-0.019321,175.910650,175.405160,2.865214,173.475000,0.008188,175.266500,175.736220,2.499857,176.384000,170.832000,2015-12-24,0.000000,2015-12-23,1.000000,false,2015-12-23,1.000000,2015-12-24,0.000000,,0.000000,,0.000000,2015-12-24,0.000000,2015-12-24,0.000000,,0.000000
17,2016-01-04,171.360000,2016-03-18,175.440000,74,2016-01-20,154.754000,0.096907,0.023810,0.133670,16.606000,-4.080000,-0.245694,good-defensive-exit,-0.087182,169.028650,173.159540,3.694571,172.594000,0.023987,170.138850,165.286960,1.936214,175.973000,154.754000,2016-03-14,4.000000,2016-01-06,72.000000,false,2016-01-25,53.000000,2016-01-25,53.000000,2016-02-01,46.000000,2016-02-01,46.000000,2016-01-13,65.000000,2016-01-22,56.000000,2016-01-25,53.000000
18,2016-06-28,174.050000,2016-06-29,176.910000,1,2016-06-28,173.724000,0.001873,0.016432,0.018339,0.326000,-2.860000,-8.773006,whipsaw,0.015578,179.496150,178.669720,2.386429,175.552000,0.032473,179.388400,178.632760,2.543714,178.738000,173.724000,2016-06-29,0.000000,,0.000000,false,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000
19,2018-02-08,229.580000,2018-02-12,234.850000,4,2018-02-09,225.150000,0.019296,0.022955,0.043082,4.430000,-5.270000,-1.189616,good-defensive-exit,0.038222,246.499150,241.344260,4.799143,238.701000,0.052835,245.938800,241.414920,5.069143,238.701000,225.150000,2018-02-09,3.000000,2018-02-12,0.000000,true,,0.000000,,0.000000,,0.000000,,0.000000,2018-02-12,0.000000,2018-02-12,0.000000,,0.000000
20,2018-10-26,237.970000,2018-11-07,250.310000,12,2018-10-29,234.348000,0.015220,0.051855,0.068112,3.622000,-12.340000,-3.406957,good-defensive-exit,-0.038374,250.851650,256.495740,5.739714,244.387000,0.024586,246.314250,254.894180,5.023500,253.488000,234.348000,2018-11-07,0.000000,2018-10-31,7.000000,false,2018-11-01,6.000000,2018-11-02,5.000000,2018-11-02,5.000000,,0.000000,2018-10-31,7.000000,2018-10-31,7.000000,2018-11-02,5.000000
21,2018-11-13,246.280000,2018-11-29,246.850000,16,2018-11-23,237.266000,0.036601,0.002314,0.040393,9.014000,-0.570000,-0.063235,good-defensive-exit,-0.039812,244.570150,251.501660,3.841214,248.302000,-0.001446,245.327450,250.191740,4.092071,248.493000,237.266000,2018-11-29,0.000000,2018-11-19,10.000000,false,2018-11-27,2.000000,2018-11-27,2.000000,2018-11-29,0.000000,,0.000000,2018-11-16,13.000000,2018-11-29,0.000000,,0.000000
22,2018-11-30,246.920000,2018-12-03,252.790000,3,2018-11-30,246.618000,0.001223,0.023773,0.025027,0.302000,-5.870000,-19.437086,whipsaw,0.004548,245.423100,249.892160,3.996286,249.153000,0.017679,245.757650,249.663300,3.930571,252.866000,246.618000,2018-12-03,0.000000,,0.000000,false,2018-12-03,0.000000,2018-12-03,0.000000,2018-12-03,0.000000,2018-12-03,0.000000,,0.000000,,0.000000,,0.000000
23,2018-12-04,245.030000,2019-02-05,247.140000,63,2018-12-26,212.046000,0.134612,0.008611,0.165502,32.984000,-2.110000,-0.063970,good-defensive-exit,-0.094726,235.798000,241.556380,6.426214,251.480000,0.005352,239.298350,236.083400,2.920286,251.480000,212.046000,2019-02-05,0.000000,2019-02-05,0.000000,true,2018-12-28,39.000000,2019-01-07,29.000000,2019-01-07,29.000000,2019-01-08,28.000000,2018-12-07,60.000000,2018-12-27,40.000000,2018-12-27,40.000000
24,2019-02-07,243.990000,2019-02-13,249.490000,6,2019-02-08,242.950000,0.004262,0.022542,0.026919,1.040000,-5.500000,-5.288462,whipsaw,-0.004905,241.099550,236.485540,2.852071,246.330000,0.011144,243.049250,236.622260,2.566143,250.300000,242.950000,2019-02-13,0.000000,2019-02-11,2.000000,false,2019-02-13,0.000000,2019-02-13,0.000000,2019-02-13,0.000000,2019-02-13,0.000000,2019-02-13,0.000000,,0.000000,,0.000000
25,2020-02-27,282.050000,2020-03-03,286.060000,5,2020-02-28,263.912000,0.064308,0.014217,0.083922,18.138000,-4.010000,-0.221083,good-defensive-exit,-0.020580,302.316050,301.193520,5.651500,287.973000,-0.008201,300.629900,300.700100,7.309286,290.078000,263.912000,2020-03-03,0.000000,2020-03-03,0.000000,true,,0.000000,,0.000000,,0.000000,,0.000000,2020-03-02,1.000000,2020-03-02,1.000000,2020-03-03,0.000000
26,2020-03-04,282.940000,2020-03-05,281.880000,1,2020-03-04,280.346000,0.009168,-0.003746,0.005472,2.594000,1.060000,0.408635,whipsaw,0.032961,299.881450,300.580240,7.998929,289.379000,-0.001702,298.476800,300.242740,8.677643,289.379000,277.283000,2020-03-05,0.000000,,0.000000,false,,0.000000,,0.000000,,0.000000,,0.000000,2020-03-05,0.000000,2020-03-05,0.000000,,0.000000
27,2020-03-06,270.940000,2020-05-28,283.240000,83,2020-03-23,202.925000,0.251033,0.045398,0.395787,68.015000,-12.300000,-0.180842,good-defensive-exit,-0.256840,255.188100,285.518800,17.364429,276.145000,0.018345,270.507600,255.961340,5.813429,285.275000,202.925000,2020-05-27,1.000000,2020-04-30,28.000000,false,2020-03-26,63.000000,2020-03-26,63.000000,2020-03-27,62.000000,2020-04-07,51.000000,2020-03-09,80.000000,2020-03-11,78.000000,2020-03-11,78.000000
28,2020-09-24,301.160000,2020-09-25,302.440000,1,2020-09-24,299.823000,0.004440,0.004250,0.008728,1.337000,-1.280000,-0.957367,whipsaw,0.052531,316.623800,312.440620,7.047286,306.398000,0.069129,315.770050,312.613660,6.714643,309.001000,299.823000,2020-09-25,0.000000,,0.000000,false,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000,,0.000000
29,2022-01-24,412.160000,2022-01-25,413.200000,1,2022-01-24,401.456000,0.025970,0.002523,0.029254,10.704000,-1.040000,-0.097160,good-defensive-exit,0.000678,444.088350,442.810780,8.299286,420.177000,-0.011836,442.046850,442.282820,8.863929,420.177000,401.456000,2022-01-25,0.000000,,0.000000,false,,0.000000,,0.000000,,0.000000,,0.000000,2022-01-25,0.000000,2022-01-25,0.000000,,0.000000
30,2022-01-26,420.500000,2022-01-31,421.010000,5,2022-01-28,408.194000,0.029265,0.001213,0.031397,12.306000,-0.510000,-0.041443,good-defensive-exit,0.004287,436.133650,440.518020,10.353857,423.672000,0.021932,434.938650,440.201580,10.420643,429.624000,408.194000,2022-01-31,0.000000,2022-01-31,0.000000,true,,0.000000,,0.000000,,0.000000,,0.000000,2022-01-31,0.000000,2022-01-31,0.000000,,0.000000
31,2022-02-14,419.730000,2022-02-16,423.570000,2,2022-02-14,415.372000,0.010383,0.009149,0.019737,4.358000,-3.840000,-0.881138,good-defensive-exit,-0.006950,425.250300,437.826840,9.039786,421.347000,0.009414,424.508400,437.515400,8.088786,427.500000,415.372000,2022-02-16,0.000000,2022-02-16,0.000000,true,,0.000000,,0.000000,,0.000000,,0.000000,2022-02-16,0.000000,,0.000000,,0.000000
32,2022-02-17,417.910000,2022-03-21,425.280000,32,2022-02-24,391.800000,0.062478,0.017635,0.085452,26.110000,-7.370000,-0.282267,good-defensive-exit,-0.032848,422.538250,434.040120,8.670714,426.084000,0.002957,410.760150,421.527760,8.874000,427.308000,391.800000,2022-03-21,0.000000,2022-03-18,3.000000,false,2022-02-28,21.000000,2022-02-28,21.000000,2022-03-17,4.000000,2022-03-21,0.000000,2022-02-25,24.000000,2022-02-25,24.000000,2022-02-28,21.000000
33,2022-04-11,422.120000,2023-06-13,423.720000,428,2022-10-13,335.997000,0.204025,0.003790,0.261083,86.123000,-1.600000,-0.018578,good-defensive-exit,-0.113219,356.831550,378.958280,9.141357,430.706000,0.105064,410.793200,404.398640,4.172071,430.706000,335.997000,2022-08-17,300.000000,2022-04-14,425.000000,false,2022-04-20,419.000000,2022-04-20,419.000000,2022-05-18,391.000000,2022-05-31,378.000000,2022-04-20,419.000000,2022-04-29,410.000000,2022-05-05,404.000000
34,2023-10-26,403.960000,2023-11-02,418.220000,7,2023-10-27,401.190000,0.006857,0.035301,0.042449,2.770000,-14.260000,-5.148014,whipsaw,-0.023634,418.173900,426.018840,5.657071,409.147000,0.022651,417.642150,424.771160,5.858214,422.469000,401.190000,2023-11-02,0.000000,2023-10-31,2.000000,false,2023-11-01,1.000000,2023-11-01,1.000000,2023-11-02,0.000000,,0.000000,2023-11-01,1.000000,2023-11-02,0.000000,,0.000000
35,2025-03-13,550.250000,2025-03-25,575.300000,12,2025-03-13,548.032000,0.004031,0.045525,0.049756,2.218000,-25.050000,-11.293959,whipsaw,-0.032910,585.164150,591.283200,11.857214,557.429000,0.009130,570.043300,588.041220,10.144143,576.410000,548.032000,2025-03-25,0.000000,2025-03-17,8.000000,false,2025-03-18,7.000000,2025-03-18,7.000000,2025-03-25,0.000000,2025-03-25,0.000000,2025-03-17,8.000000,2025-03-18,7.000000,,0.000000
36,2025-03-27,567.180000,2025-05-13,583.410000,47,2025-04-07,481.800000,0.150534,0.028615,0.210897,85.380000,-16.230000,-0.190091,good-defensive-exit,-0.116448,555.621900,579.359000,14.446143,570.900000,0.027756,551.559500,552.937900,9.101857,589.080000,481.800000,2025-05-13,0.000000,2025-05-13,0.000000,true,2025-04-03,40.000000,2025-04-10,33.000000,2025-04-25,18.000000,2025-04-28,15.000000,2025-04-01,42.000000,2025-04-03,40.000000,2025-04-10,33.000000
