symbol,period,bucket,horizon,count,mean_return,median_return,stddev_return,fraction_toward_mean
EURGBP,development_2015_2025,moderate_positive,4h,10871,-0.00003029,-0.00008511,0.00208483,0.5336
EURGBP,development_2015_2025,neutral,12h,30845,0.00000698,-0.00004738,0.00349458,0.5052
EURGBP,development_2015_2025,neutral,24h,30835,0.00003782,-0.00011274,0.00484918,0.4971
EURGBP,development_2015_2025,neutral,48h,30817,0.00005520,-0.00012809,0.00681596,0.5021
EURGBP,development_2015_2025,neutral,4h,30847,0.00000463,0.00000000,0.00183681,0.5042
EURUSD,development_2015_2025,extreme_negative,12h,4441,0.00016924,0.00007780,0.00350133,0.5161
EURUSD,development_2015_2025,extreme_negative,24h,4441,0.00005173,-0.00010161,0.00481739,0.4913
EURUSD,development_2015_2025,extreme_negative,48h,4438,0.00002408,-0.00016690,0.00687280,0.4881
EURUSD,development_2015_2025,extreme_negative,4h,4445,0.00003974,0.00000000,0.00255429,0.4988
EURUSD,development_2015_2025,extreme_positive,12h,4238,-0.00009904,-0.00007076,0.00361929,0.5104
EURUSD,development_2015_2025,extreme_positive,24h,4238,-0.00009860,-0.00014736,0.00503833,0.5153
EURUSD,development_2015_2025,extreme_positive,48h,4235,-0.00021054,-0.00025674,0.00719467,0.5164
EURUSD,development_2015_2025,extreme_positive,4h,4238,-0.00000438,-0.00004473,0.00251645,0.5099
EURUSD,development_2015_2025,moderate_negative,12h,11880,0.00007712,0.00010717,0.00335016,0.5184
EURUSD,development_2015_2025,moderate_negative,24h,11880,-0.00004824,-0.00003769,0.00477999,0.4958
EURUSD,development_2015_2025,moderate_negative,48h,11876,-0.00002602,-0.00004878,0.00679416,0.4958
EURUSD,development_2015_2025,moderate_negative,4h,11882,0.00005886,0.00008433,0.00205685,0.5269
EURUSD,development_2015_2025,moderate_positive,12h,11943,-0.00009068,-0.00009643,0.00338138,0.5170
EURUSD,development_2015_2025,moderate_positive,24h,11941,-0.00016190,-0.00008765,0.00494570,0.5086
EURUSD,development_2015_2025,moderate_positive,48h,11940,-0.00021161,-0.00027997,0.00708089,0.5161
EURUSD,development_2015_2025,moderate_positive,4h,11943,-0.00006394,-0.00006436,0.00197376,0.5200
EURUSD,development_2015_2025,neutral,12h,29657,-0.00005065,-0.00001704,0.00364179,0.5001
EURUSD,development_2015_2025,neutral,24h,29647,0.00000276,-0.00001697,0.00494143,0.4998
EURUSD,development_2015_2025,neutral,48h,29634,-0.00005037,-0.00011497,0.00695484,0.5023
EURUSD,development_2015_2025,neutral,4h,29659,-0.00001865,0.00000905,0.00195974,0.4994
GBPUSD,development_2015_2025,extreme_negative,12h,4572,0.00005967,0.00016313,0.00460024,0.5192
GBPUSD,development_2015_2025,extreme_negative,24h,4572,-0.00018868,-0.00014904,0.00614315,0.4888
GBPUSD,development_2015_2025,extreme_negative,48h,4568,-0.00019685,-0.00018555,0.00872390,0.4912
GBPUSD,development_2015_2025,extreme_negative,4h,4576,-0.00004730,0.00003204,0.00343597,0.5061
GBPUSD,development_2015_2025,extreme_positive,12h,4419,-0.00010337,-0.00007217,0.00399042,0.5094
GBPUSD,development_2015_2025,extreme_positive,24h,4419,-0.00015828,-0.00009089,0.00586497,0.5087
GBPUSD,development_2015_2025,extreme_positive,48h,4418,-0.00047038,-0.00015671,0.00857582,0.5088
GBPUSD,development_2015_2025,extreme_positive,4h,4419,-0.00004974,-0.00004572,0.00280084,0.5098
GBPUSD,development_2015_2025,moderate_negative,12h,11582,-0.00003468,0.00009284,0.00398359,0.5123
GBPUSD,development_2015_2025,moderate_negative,24h,11581,-0.00008103,-0.00003084,0.00575088,0.4969
GBPUSD,development_2015_2025,moderate_negative,48h,11578,-0.00011006,0.00002227,0.00832596,0.5010
GBPUSD,development_2015_2025,moderate_negative,4h,11584,0.00002681,0.00009155,0.00239080,0.5271
GBPUSD,development_2015_2025,moderate_positive,12h,11718,-0.00002057,-0.00005571,0.00385653,0.5074
GBPUSD,development_2015_2025,moderate_positive,24h,11718,0.00000758,0.00003155,0.00594996,0.4963
GBPUSD,development_2015_2025,moderate_positive,48h,11715,-0.00000918,-0.00001424,0.00844350,0.5006
GBPUSD,development_2015_2025,moderate_positive,4h,11718,-0.00002994,-0.00006088,0.00229258,0.5155
GBPUSD,development_2015_2025,neutral,12h,29871,-0.00003478,-0.00002304,0.00433206,0.4998
GBPUSD,development_2015_2025,neutral,24h,29860,-0.00004200,-0.00003806,0.00591845,0.4948
GBPUSD,development_2015_2025,neutral,48h,29847,-0.00009325,-0.00006139,0.00840638,0.5006
GBPUSD,development_2015_2025,neutral,4h,29873,-0.00000516,0.00000000,0.00226270,0.5021
NZDUSD,development_2015_2025,extreme_negative,12h,3725,-0.00003526,-0.00015783,0.00507257,0.4840
NZDUSD,development_2015_2025,extreme_negative,24h,3725,-0.00004192,-0.00028856,0.00674249,0.4770
NZDUSD,development_2015_2025,extreme_negative,48h,3725,-0.00005488,-0.00042825,0.00937313,0.4789
NZDUSD,development_2015_2025,extreme_negative,4h,3731,-0.00002678,-0.00001486,0.00299399,0.4953
NZDUSD,development_2015_2025,extreme_positive,12h,3822,-0.00040099,-0.00026177,0.00472817,0.5269
NZDUSD,development_2015_2025,extreme_positive,24h,3822,-0.00057884,-0.00034455,0.00665186,0.5243
NZDUSD,development_2015_2025,extreme_positive,48h,3819,-0.00081459,-0.00039089,0.00924542,0.5174
NZDUSD,development_2015_2025,extreme_positive,4h,3822,-0.00007300,-0.00006094,0.00289891,0.5073
NZDUSD,development_2015_2025,moderate_negative,12h,13241,0.00006076,0.00003187,0.00469237,0.5025
NZDUSD,development_2015_2025,moderate_negative,24h,13233,0.00012957,0.00002848,0.00653449,0.5012
NZDUSD,development_2015_2025,moderate_negative,48h,13228,0.00020061,-0.00009470,0.00928257,0.4944
NZDUSD,development_2015_2025,moderate_negative,4h,13243,0.00003045,0.00002846,0.00277808,0.5034
NZDUSD,development_2015_2025,moderate_positive,12h,12902,-0.00006252,-0.00006703,0.00478834,0.5053
NZDUSD,development_2015_2025,moderate_positive,24h,12902,-0.00008436,0.00006121,0.00656912,0.4946
NZDUSD,development_2015_2025,moderate_positive,48h,12893,-0.00027579,-0.00002999,0.00905670,0.5007
NZDUSD,development_2015_2025,moderate_positive,4h,12902,-0.00006662,-0.00012095,0.00273342,0.5235
NZDUSD,development_2015_2025,neutral,12h,28484,-0.00004896,-0.00002858,0.00478320,0.4976
NZDUSD,development_2015_2025,neutral,24h,28480,-0.00015284,-0.00004803,0.00673002,0.4981
NZDUSD,development_2015_2025,neutral,48h,28473,-0.00028489,-0.00026184,0.00932215,0.5027
NZDUSD,development_2015_2025,neutral,4h,28484,-0.00000705,0.00000000,0.00278191,0.4981
USDCAD,development_2015_2025,extreme_negative,12h,4033,0.00020595,0.00009417,0.00326589,0.5207
USDCAD,development_2015_2025,extreme_negative,24h,4033,0.00027951,0.00021113,0.00471700,0.5214
USDCAD,development_2015_2025,extreme_negative,48h,4031,0.00031862,0.00017197,0.00642252,0.5150
USDCAD,development_2015_2025,extreme_negative,4h,4033,0.00004943,0.00003631,0.00225826,0.5078
USDCAD,development_2015_2025,extreme_positive,12h,4364,-0.00006924,-0.00008227,0.00327759,0.5137
USDCAD,development_2015_2025,extreme_positive,24h,4364,0.00006550,-0.00005942,0.00468547,0.5048
USDCAD,development_2015_2025,extreme_positive,48h,4364,0.00006318,0.00021324,0.00667361,0.4849
USDCAD,development_2015_2025,extreme_positive,4h,4367,-0.00002153,-0.00007000,0.00231590,0.5161
USDCAD,development_2015_2025,moderate_negative,12h,12269,0.00012470,0.00011413,0.00312917,0.5181
USDCAD,development_2015_2025,moderate_negative,24h,12264,0.00014035,0.00014827,0.00450736,0.5140
USDCAD,development_2015_2025,moderate_negative,48h,12254,0.00037822,0.00030229,0.00638825,0.5229
USDCAD,development_2015_2025,moderate_negative,4h,12269,0.00008943,0.00006744,0.00192207,0.5225
USDCAD,development_2015_2025,moderate_positive,12h,12347,-0.00000760,-0.00000740,0.00311881,0.5004
USDCAD,development_2015_2025,moderate_positive,24h,12347,0.00003586,0.00001510,0.00455436,0.4978
USDCAD,development_2015_2025,moderate_positive,48h,12346,0.00002916,0.00012612,0.00649437,0.4907
USDCAD,development_2015_2025,moderate_positive,4h,12351,-0.00002017,-0.00003748,0.00182416,0.5123
USDCAD,development_2015_2025,neutral,12h,29172,0.00002620,0.00000798,0.00338194,0.4988
USDCAD,development_2015_2025,neutral,24h,29165,0.00006294,0.00010514,0.00460226,0.5030
USDCAD,development_2015_2025,neutral,48h,29154,0.00014927,0.00015616,0.00652715,0.5013
USDCAD,development_2015_2025,neutral,4h,29173,-0.00000105,0.00000000,0.00183071,0.4975
USDCHF,development_2015_2025,extreme_negative,12h,4117,0.00001499,0.00008294,0.00429790,0.5120
USDCHF,development_2015_2025,extreme_negative,24h,4117,-0.00013528,0.00005459,0.00613895,0.5038
USDCHF,development_2015_2025,extreme_negative,48h,4117,-0.00020992,0.00032785,0.00847115,0.5215
USDCHF,development_2015_2025,extreme_negative,4h,4117,0.00000779,0.00004039,0.00320571,0.5084
USDCHF,development_2015_2025,extreme_positive,12h,4329,-0.00028492,-0.00015117,0.00330833,0.5239
USDCHF,development_2015_2025,extreme_positive,24h,4329,-0.00009195,0.00005987,0.00472044,0.4913
USDCHF,development_2015_2025,extreme_positive,48h,4324,-0.00017443,0.00038794,0.00857119,0.4690
USDCHF,development_2015_2025,extreme_positive,4h,4333,-0.00016040,-0.00013548,0.00242849,0.5292
USDCHF,development_2015_2025,moderate_negative,12h,11631,0.00005108,0.00011016,0.00361018,0.5150
USDCHF,development_2015_2025,moderate_negative,24h,11630,-0.00004462,0.00019615,0.00537886,0.5185
USDCHF,development_2015_2025,moderate_negative,48h,11630,-0.00012669,0.00031862,0.00782301,0.5228
USDCHF,development_2015_2025,moderate_negative,4h,11631,0.00001476,0.00004337,0.00219575,0.5135
USDCHF,development_2015_2025,moderate_positive,12h,12150,-0.00008517,-0.00002218,0.00343560,0.5031
USDCHF,development_2015_2025,moderate_positive,24h,12150,0.00002249,0.00013376,0.00523298,0.4867
USDCHF,development_2015_2025,moderate_positive,48h,12146,0.00005110,0.00023638,0.00768744,0.4818
USDCHF,development_2015_2025,moderate_positive,4h,12153,-0.00008121,-0.00007067,0.00237355,0.5225
USDCHF,development_2015_2025,neutral,12h,29936,0.00002983,0.00012881,0.00435489,0.4960
USDCHF,development_2015_2025,neutral,24h,29925,-0.00001035,0.00019178,0.00596229,0.5032
USDCHF,development_2015_2025,neutral,48h,29910,-0.00001842,0.00027999,0.00833287,0.5008
USDCHF,development_2015_2025,neutral,4h,29937,0.00004221,0.00005000,0.00226368,0.5028
USDJPY,development_2015_2025,extreme_negative,12h,3844,-0.00003620,0.00014434,0.00422193,0.5182
USDJPY,development_2015_2025,extreme_negative,24h,3844,0.00002548,0.00036397,0.00597514,0.5304
USDJPY,development_2015_2025,extreme_negative,48h,3838,0.00005669,0.00025090,0.00838682,0.5185
USDJPY,development_2015_2025,extreme_negative,4h,3844,0.00004452,0.00011932,0.00256998,0.5343
USDJPY,development_2015_2025,extreme_positive,12h,4145,0.00014118,0.00019077,0.00410860,0.4663
USDJPY,development_2015_2025,extreme_positive,24h,4145,0.00012129,0.00020361,0.00577239,0.4791
USDJPY,development_2015_2025,extreme_positive,48h,4145,0.00040465,0.00062157,0.00788921,0.4596
USDJPY,development_2015_2025,extreme_positive,4h,4146,0.00010797,0.00010017,0.00253504,0.4694
USDJPY,development_2015_2025,moderate_negative,12h,11420,-0.00004898,0.00019954,0.00419999,0.5291
USDJPY,development_2015_2025,moderate_negative,24h,11410,-0.00003806,0.00033721,0.00598117,0.5330
USDJPY,development_2015_2025,moderate_negative,48h,11405,0.00007584,0.00043762,0.00840923,0.5336
USDJPY,development_2015_2025,moderate_negative,4h,11420,-0.00003435,0.00010910,0.00247844,0.5294
USDJPY,development_2015_2025,moderate_positive,12h,13697,0.00004024,0.00006456,0.00393793,0.4870
USDJPY,development_2015_2025,moderate_positive,24h,13697,0.00009577,0.00020494,0.00548629,0.4789
USDJPY,development_2015_2025,moderate_positive,48h,13695,0.00012710,0.00029867,0.00765884,0.4798
USDJPY,development_2015_2025,moderate_positive,4h,13700,0.00001318,-0.00001837,0.00226868,0.5049
USDJPY,development_2015_2025,neutral,12h,29070,0.00011196,0.00016360,0.00390567,0.4985
USDJPY,development_2015_2025,neutral,24h,29068,0.00020289,0.00029731,0.00560086,0.4993
USDJPY,development_2015_2025,neutral,48h,29057,0.00036378,0.00048237,0.00798399,0.5025
USDJPY,development_2015_2025,neutral,4h,29074,0.00002857,0.00006270,0.00219460,0.4975
AUDNZD,holdout_2005_2015,extreme_negative,12h,3664,0.00025540,0.00021308,0.00364222,0.5295
AUDNZD,holdout_2005_2015,extreme_negative,24h,3664,0.00006714,0.00004812,0.00508199,0.5033
AUDNZD,holdout_2005_2015,extreme_negative,48h,3661,0.00023868,0.00005372,0.00702683,0.5023
AUDNZD,holdout_2005_2015,extreme_negative,4h,3664,0.00026938,0.00023996,0.00222973,0.5587
AUDNZD,holdout_2005_2015,extreme_positive,12h,3551,-0.00032547,-0.00032733,0.00346296,0.5449
AUDNZD,holdout_2005_2015,extreme_positive,24h,3550,0.00005799,-0.00004486,0.00476034,0.5023
AUDNZD,holdout_2005_2015,extreme_positive,48h,3550,-0.00003313,-0.00039620,0.00679471,0.5231
AUDNZD,holdout_2005_2015,extreme_positive,4h,3552,-0.00022256,-0.00025181,0.00216693,0.5622
AUDNZD,holdout_2005_2015,moderate_negative,12h,13231,0.00021322,0.00011111,0.00360158,0.5145
AUDNZD,holdout_2005_2015,moderate_negative,24h,13231,0.00002612,-0.00007214,0.00485617,0.4904
AUDNZD,holdout_2005_2015,moderate_negative,48h,13224,0.00009769,-0.00009031,0.00695751,0.4915
AUDNZD,holdout_2005_2015,moderate_negative,4h,13231,0.00021108,0.00016727,0.00225705,0.5343
AUDNZD,holdout_2005_2015,moderate_positive,12h,12573,-0.00021961,-0.00025718,0.00344975,0.5356
AUDNZD,holdout_2005_2015,moderate_positive,24h,12567,0.00005077,0.00000000,0.00466041,0.4981
AUDNZD,holdout_2005_2015,moderate_positive,48h,12566,-0.00007594,-0.00027442,0.00668533,0.5181
AUDNZD,holdout_2005_2015,moderate_positive,4h,12576,-0.00017743,-0.00021015,0.00217475,0.5499
AUDNZD,holdout_2005_2015,neutral,12h,31470,-0.00000339,-0.00000784,0.00355125,0.5056
AUDNZD,holdout_2005_2015,neutral,24h,31465,-0.00006202,-0.00008990,0.00490719,0.4986
AUDNZD,holdout_2005_2015,neutral,48h,31452,-0.00005389,-0.00022439,0.00679661,0.5015
AUDNZD,holdout_2005_2015,neutral,4h,31474,-0.00002546,0.00000000,0.00215998,0.5044
AUDUSD,holdout_2005_2015,extreme_negative,12h,4044,-0.00020057,-0.00004881,0.00614250,0.4926
AUDUSD,holdout_2005_2015,extreme_negative,24h,4044,-0.00020497,0.00011402,0.00909051,0.5049
AUDUSD,holdout_2005_2015,extreme_negative,48h,4044,-0.00021202,0.00036476,0.01272994,0.5156
AUDUSD,holdout_2005_2015,extreme_negative,4h,4044,-0.00000173,0.00012373,0.00405507,0.5176
AUDUSD,holdout_2005_2015,extreme_positive,12h,4110,-0.00012667,0.00006505,0.00541353,0.4886
AUDUSD,holdout_2005_2015,extreme_positive,24h,4109,-0.00023383,0.00000000,0.00756647,0.4989
AUDUSD,holdout_2005_2015,extreme_positive,48h,4104,0.00003531,0.00059733,0.01078027,0.4730
AUDUSD,holdout_2005_2015,extreme_positive,4h,4110,-0.00007716,-0.00006056,0.00330795,0.5092
AUDUSD,holdout_2005_2015,moderate_negative,12h,12914,-0.00003451,0.00002824,0.00644112,0.5009
AUDUSD,holdout_2005_2015,moderate_negative,24h,12914,0.00006813,0.00040548,0.00906772,0.5250
AUDUSD,holdout_2005_2015,moderate_negative,48h,12907,0.00003415,0.00034861,0.01259140,0.5132
AUDUSD,holdout_2005_2015,moderate_negative,4h,12915,-0.00000173,0.00006759,0.00371711,0.5073
AUDUSD,holdout_2005_2015,moderate_positive,12h,14169,0.00006173,0.00012994,0.00557206,0.4806
AUDUSD,holdout_2005_2015,moderate_positive,24h,14166,0.00005075,0.00032884,0.00783075,0.4756
AUDUSD,holdout_2005_2015,moderate_positive,48h,14161,0.00008156,0.00065433,0.01119348,0.4653
AUDUSD,holdout_2005_2015,moderate_positive,4h,14170,0.00002452,0.00000000,0.00323084,0.4970
AUDUSD,holdout_2005_2015,neutral,12h,29472,0.00009089,0.00013538,0.00604542,0.4933
AUDUSD,holdout_2005_2015,neutral,24h,29464,0.00012846,0.00036442,0.00859224,0.4943
AUDUSD,holdout_2005_2015,neutral,48h,29457,0.00021772,0.00067604,0.01179499,0.4933
AUDUSD,holdout_2005_2015,neutral,4h,29478,0.00001997,0.00000000,0.00343063,0.4798
EURCHF,holdout_2005_2015,extreme_negative,12h,4148,-0.00014030,0.00001664,0.00310583,0.5036
EURCHF,holdout_2005_2015,extreme_negative,24h,4147,-0.00023029,-0.00001622,0.00480522,0.4929
EURCHF,holdout_2005_2015,extreme_negative,48h,4143,-0.00028817,-0.00011526,0.00717119,0.4827
EURCHF,holdout_2005_2015,extreme_negative,4h,4148,-0.00003659,0.00005138,0.00203270,0.5200
EURCHF,holdout_2005_2015,extreme_positive,12h,4084,-0.00006990,-0.00013401,0.00340095,0.5495
EURCHF,holdout_2005_2015,extreme_positive,24h,4084,-0.00000646,-0.00009903,0.00418102,0.5198
EURCHF,holdout_2005_2015,extreme_positive,48h,4084,-0.00014443,-0.00018306,0.00619731,0.5289
EURCHF,holdout_2005_2015,extreme_positive,4h,4084,-0.00002398,-0.00011192,0.00252751,0.5561
EURCHF,holdout_2005_2015,moderate_negative,12h,12518,0.00001344,0.00006448,0.00348413,0.5239
EURCHF,holdout_2005_2015,moderate_negative,24h,12514,0.00002711,0.00000833,0.00519224,0.5012
EURCHF,holdout_2005_2015,moderate_negative,48h,12510,-0.00000724,-0.00000662,0.00690117,0.4958
EURCHF,holdout_2005_2015,moderate_negative,4h,12518,-0.00000555,0.00003301,0.00208078,0.5184
EURCHF,holdout_2005_2015,moderate_positive,12h,11917,-0.00008517,-0.00006348,0.00275245,0.5214
EURCHF,holdout_2005_2015,moderate_positive,24h,11917,-0.00012393,-0.00010376,0.00396370,0.5237
EURCHF,holdout_2005_2015,moderate_positive,48h,11917,-0.00015965,-0.00014078,0.00585109,0.5267
EURCHF,holdout_2005_2015,moderate_positive,4h,11919,-0.00005496,-0.00006430,0.00161893,0.5359
EURCHF,holdout_2005_2015,neutral,12h,31878,-0.00003345,0.00000000,0.00300382,0.5019
EURCHF,holdout_2005_2015,neutral,24h,31871,-0.00009447,-0.00004996,0.00415058,0.4998
EURCHF,holdout_2005_2015,neutral,48h,31855,-0.00022900,-0.00009094,0.00596056,0.5026
EURCHF,holdout_2005_2015,neutral,4h,31884,0.00000319,0.00000000,0.00151492,0.4970
EURGBP,holdout_2005_2015,extreme_negative,12h,4515,-0.00002966,0.00001472,0.00327422,0.5010
EURGBP,holdout_2005_2015,extreme_negative,24h,4515,-0.00002052,-0.00012794,0.00488777,0.4873
EURGBP,holdout_2005_2015,extreme_negative,48h,4514,0.00031423,0.00010216,0.00684855,0.5084
EURGBP,holdout_2005_2015,extreme_negative,4h,4519,-0.00001090,0.00004468,0.00234089,0.5065
EURGBP,holdout_2005_2015,extreme_positive,12h,4725,-0.00009707,-0.00009270,0.00350112,0.5170
EURGBP,holdout_2005_2015,extreme_positive,24h,4725,0.00025664,0.00002916,0.00498280,0.4957
EURGBP,holdout_2005_2015,extreme_positive,48h,4725,0.00036994,0.00001449,0.00727345,0.4976
EURGBP,holdout_2005_2015,extreme_positive,4h,4725,-0.00005685,-0.00014436,0.00242069,0.5310
EURGBP,holdout_2005_2015,moderate_negative,12h,11745,0.00010975,0.00007432,0.00322405,0.5138
EURGBP,holdout_2005_2015,moderate_negative,24h,11739,0.00004895,-0.00002428,0.00485986,0.4960
